snaqV,ntaxa,nhybrids,runtime,threads
v1.1,14,0,2.912683041,3
v1.1,15,0,6.942850287,3
v1.1,16,0,11.573167009,3
v1.1,17,0,15.965678333,3
v1.1,18,0,31.997002824,3
v1.1,19,0,41.056692402,3
v1.1,20,0,85.482959842,3
v1.1,21,0,108.226499857,3
v1.1,22,0,53.495183875,3
v1.1,23,0,115.843405159,3
v1.1,24,0,76.7916623,3
v1.1,25,0,8.114716073,3
v1.1,4,0,0.001207281,3
v1.1,5,0,0.002047277,3
v1.1,6,0,0.011096541,3
v1.1,7,0,0.023090394,3
v1.1,8,0,0.097120282,3
v1.1,9,0,0.369136682,3
v1.1,10,0,1.009024298,3
v1.1,11,0,0.300694453,3
v1.1,12,0,2.543069509,3
v1.1,13,0,6.170389421,3
v1.1,14,0,6.13264449,3
v1.1,15,0,6.261606944,3
v1.1,16,0,4.979521177,3
v1.1,17,0,29.122867895,3
v1.1,18,0,14.017593605,3
v1.1,19,0,27.950199279,3
v1.1,20,0,14.968359363,3
v1.1,21,0,84.071954266,3
v1.1,22,0,63.46819948,3
v1.1,23,0,107.840578499,3
v1.1,24,0,38.257086406,3
v1.1,25,0,77.654686072,3
v1.1,4,0,0.001613142,3
v1.1,5,0,0.002251148,3
v1.1,6,0,0.011079672,3
v1.1,7,0,0.022144793,3
v1.1,8,0,0.244926914,3
v1.1,9,0,0.151241195,3
v1.1,10,0,0.206384774,3
v1.1,11,0,0.963326648,3
v1.1,12,0,1.789343643,3
v1.1,13,0,3.554646595,3
v1.1,14,0,5.652734904,3
v1.1,15,0,9.743957833,3
v1.1,16,0,3.283332931,3
v1.1,17,0,10.957075673,3
v1.1,18,0,15.02548747,3
v1.1,19,0,44.565735054,3
v1.1,20,0,56.403551511,3
v1.1,21,0,49.093938641,3
v1.1,22,0,105.589369433,3
v1.1,23,0,48.301107259,3
v1.1,24,0,176.664365373,3
v1.1,25,0,155.458296476,3
v1.1,4,0,0.000964931,3
v1.1,5,0,0.0018973,3
v1.1,6,0,0.007119655,3
v1.1,7,0,0.018426419,3
v1.1,8,0,0.077766062,3
v1.1,9,0,0.166239847,3
v1.1,10,0,0.728343331,3
v1.1,11,0,0.945833599,3
v1.1,12,0,1.258103361,3
v1.1,13,0,4.172404099,3
v1.1,14,0,2.52714891,3
v1.1,15,0,4.706042167,3
v1.1,16,0,2.248985227,3
v1.1,17,0,5.780941996,3
v1.1,18,0,17.312234098,3
v1.1,19,0,24.12350604,3
v1.1,20,0,92.405072183,3
v1.1,21,0,72.580660952,3
v1.1,22,0,95.77365003,3
v1.1,23,0,74.208457367,3
v1.1,24,0,98.152588442,3
v1.1,25,0,188.687414338,3
v1.1,4,0,0.000837732,3
v1.1,5,0,0.001885701,3
v1.1,6,0,0.00550779,3
v1.1,7,0,0.052920691,3
v1.1,8,0,0.066467862,3
v1.1,9,0,0.180121932,3
v1.1,10,0,0.387957623,3
v1.1,11,0,2.586692922,3
v1.1,12,0,1.142473953,3
v1.1,13,0,3.15563126,3
v1.1,14,0,15.907898951,3
v1.1,15,0,4.137133632,3
v1.1,16,0,8.627542991,3
v1.1,17,0,11.141959353,3
v1.1,18,0,4.583431383,3
v1.1,19,0,46.946407874,3
v1.1,20,0,38.603877331,3
v1.1,21,0,20.005115201,3
v1.1,22,0,99.897946142,3
v1.1,23,0,85.627929802,3
v1.1,24,0,88.589580292,3
v1.1,25,0,172.199671514,3
v1.1,4,0,0.001156315,3
v1.1,5,0,0.001895576,3
v1.1,6,0,0.005340748,3
v1.1,7,0,0.021312326,3
v1.1,8,0,0.080575424,3
v1.1,9,0,0.183519158,3
v1.1,10,0,0.773649294,3
v1.1,11,0,0.83144757,3
v1.1,12,0,1.318299747,3
v1.1,13,0,2.946055721,3
v1.1,14,0,4.124974025,3
v1.1,15,0,8.774639255,3
v1.1,16,0,8.181828975,3
v1.1,17,0,17.637523627,3
v1.1,18,0,7.791973081,3
v1.1,19,0,33.092052819,3
v1.1,20,0,2.887886282,3
v1.1,21,0,16.981860501,3
v1.1,22,0,129.2810352,3
v1.1,23,0,176.266777337,3
v1.1,24,0,99.380297906,3
v1.1,25,0,193.086913945,3
v1.1,4,0,0.001104328,3
v1.1,5,0,0.002109713,3
v1.1,6,0,0.010651914,3
