estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"(10,((7,8):2.3663129081173446,((5,6):1.8968154069565666,(1,((4,#H11:::0.37963084989663887):0.5480489059189925,(2,(3)#H11:::0.6203691501033611):0.5480489059189925):0.5900717516605065):0.52893237112292):0.7118068243986374):0.5543800537255732,9);",300,4,0.0,1.0,1,986.374418796,0,2,0.2628569700000001,10,1,1,med,19
"(((8,7):2.849109197954843,(9,10):0.6323987481982375):0.5646653421588889,(((2,#H15:::0.43440541708523017):0.4644529224650348,(4,(3)#H15:::0.5655945829147697):0.4644529224650348):0.7735783190235879,1):0.6347254478562306,(6,5):2.3893333694639796);",300,8,0.0,1.0,1,1157.347654732,0,0,0.23571411000000012,10,1,1,med,18
"(((8,7):2.7406214820344985,(10,9):0.5471029539733377):0.5658647883570681,((6,#H11:0.48729171696222534::0.03649277176167455):1.3622112951533218,5):2.443200163421542,((1,((4,3):0.15175248437708755,2):0.6937272779502158):0.6891297062439745)#H11:0.0::0.9635072282383255);",300,4,0.0,1.0,1,1055.550720249,4,0,0.24999983666666675,10,1,1,med,20
"(10,9,((8,7):2.4175698953653124,((((4,3):0.1677411075370043,2):0.696142918472871,(1,#H11:0.0::0.1616364767111089):0.1718268856702438):0.8738522323148121,((6,5):1.7072366691688194)#H11:0.27707780219432226::0.8383635232888911):0.37242816457027855):0.623263848337633);",300,4,0.0,1.0,1,1951.207730631,4,0,0.25333314333333345,10,1,1,med,12
"(9,10,((7,8):2.5531130255387677,((5,6):1.9442588175153313,(((3,(2)#H11:::0.7114007464470979):0.606376437162069,4):1.0133121081184395,(1,#H11:::0.2885992535529021):1.9433229256221986e-5):0.5375068431971045):0.5631002188677512):0.6065451773186739);",300,4,0.0,1.0,1,1077.8824752,4,2,0.2552379233333334,10,1,1,med,21
"(9,(((((2,(3)#H11:::0.5168308716015562):0.5546033052212916,(4,#H11:::0.4831691283984439):0.5546033052212916):0.653080223439637,1):0.5840539397959172,(6,5):1.9595645924235892):0.5953029344975788,(7,8):3.070617451910868):0.547782878507122,10);",300,8,0.0,1.0,1,947.023765965,0,2,0.26857124000000016,10,1,1,med,22
"(9,((7,8):2.7687699412881868,((6,5):2.0209018028596493,(1,((2,(3,#H11:::0.455287532323304):0.7376167043197877):0.5834137685303216,(4)#H11:::0.544712467676696):0.4507245470721372):0.6535988631796981):0.4993082330398791):0.6178689101462528,10);",300,4,0.0,1.0,1,1666.198557673,4,2,0.2485712433333334,10,1,1,med,17
"(8,7,((10,9):0.6077899287588112,((6,5):1.8193586277292275,(((4,(3,(2)#H11:::0.8049638382010336):0.4625938695293125):1.0362119779439631,1):0.13956009206602782,#H11:::0.19503616179896646):0.5227472387663153):0.5914609328801251):3.1802606814296377);",300,8,0.0,1.0,1,942.442400173,4,2,0.25523791000000007,10,1,1,med,23
"(10,9,((8,7):3.3318878298532653,((((3,4):0.16062523775847606,2):0.5420144832561073,(1)#H11:::0.7552731932598219):0.8502052927852387,((5,6):1.871392175946256,#H11:::0.24472680674017808):0.14225274429255788):0.5649772765595384):0.6699178202523665);",300,8,0.0,1.0,1,1500.808704965,4,0,0.2542855433333334,10,1,1,med,16
"(((8,7):2.849109197954843,(9,10):0.6323987481982375):0.5646653421588889,(((2,#H15:::0.43440541708523017):0.4644529224650348,(4,(3)#H15:::0.5655945829147697):0.4644529224650348):0.7735783190235879,1):0.6347254478562306,(6,5):2.3893333694639796);",300,4,0.0,1.0,1,1760.98535186,0,0,0.23571411000000012,10,1,1,med,18
